"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R14H8X6OQJWFCG","Felix","https://www.amazon.com/gp/profile/amzn1.account.AGKIPQVVRH4WQIY2XJYVOR7QTLSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R14H8X6OQJWFCG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Excelente se ajusta perfectamente, buena calidad","Reviewed in the United States on August 9, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Grill Heather/Black/Fish Flag","Verified Purchase","","","","[]","[]"
"R1UMXORU0QD7XP","Laycie Page","https://www.amazon.com/gp/profile/amzn1.account.AHPK4FBOEFVN7VGH5WB5XBTVVW2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1UMXORU0QD7XP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","I love this. It’s a Christmas present for my dad. HOWEVER, it came in a bag. Anyone that is a hat person knows that’s a crappy way to ship something. Or store something as far as hats because they can get messed up easily and smashed. It wasn’t smashed but I think a little box would be better just for preventative reasons. I had to find my own box to put it in that would be roomy enough but not too big, to wrap to gift it. Which is fine!! Not a huge deal just as a person with a fiancé that is has a hat obsession, I know better than to put a hat in harms way hahaha","Reviewed in the United States on December 9, 2020","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium/White","Verified Purchase","29 people found this helpful","","","[]","[]"
"R2ZR0VG86Q899G","Tori","https://www.amazon.com/gp/profile/amzn1.account.AER7JDACOHDXBP62TCQAP2TRZJJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/R2ZR0VG86Q899G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Love the color, thought it was low crown","Reviewed in the United States on November 26, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: White/Sail","Verified Purchase","","","","[]","[]"
"RIGC5K0HIFVTU","The hat wasn’t well packaged well for a delicate items, such as a hat, by the time I had arrived, it was completely out of shape and pretty much flat, for amount of money was spent on said hat. Please use better packaging, and better care.","https://www.amazon.com/gp/profile/amzn1.account.AGV5ZVPZWCM3UCEYT7WAJMTAGMHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/RIGC5K0HIFVTU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Good product, just not well managed for packaging by the time I got the hat it was completely squished..","Reviewed in the United States on September 9, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Cypress, Cool Green","Verified Purchase","","","","[]","[]"
"R1O8C22MHQ2MUE","Heather Peterson","https://www.amazon.com/gp/profile/amzn1.account.AHQ2LUQLAJHO753GVCHENODDZX4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1O8C22MHQ2MUE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Awesome hat!","Reviewed in the United States on August 28, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Black/White","Verified Purchase","","","","[]","[]"
"R2NV0CCNARISZA","Alexis","https://www.amazon.com/gp/profile/amzn1.account.AFK6DW5G4QS6IF7MJMAWCU2NHBTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2NV0CCNARISZA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Cant go wrong with these hats","Reviewed in the United States on July 14, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Shark/Cypress","Verified Purchase","","","","[]","[]"
"REOZN6I18HMMY","richard fager","https://www.amazon.com/gp/profile/amzn1.account.AELZWRUZXISAGDLNAD42B5VX4AVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/REOZN6I18HMMY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Very nice hat great quality","Reviewed in the United States on July 17, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Cool Grey/White","Verified Purchase","","","","[]","[]"
"RTBOIY7EU8G4R","Molly Hiserman","https://www.amazon.com/gp/profile/amzn1.account.AGVWTPAHGK37M3PLEINKHU3SFYSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RTBOIY7EU8G4R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","My husband played baseball from early until post college so he has always had a hat near him, a few years ago he started looking into hats that were more breathe-able and we found this one, it is now his most worn hat ever. He loves the look, and although is not a fisherman gets many compliments on it often.","Reviewed in the United States on June 21, 2022","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Grill Heather/Black/Fish Flag","Verified Purchase","","","","[]","[]"
"R29M54PRDSKOEO","Johannes giraldo","https://www.amazon.com/gp/profile/amzn1.account.AGGRZNEYOHJKWUXG7MBURV2LAWCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R29M54PRDSKOEO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Exelente product","Reviewed in the United States on August 6, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Fossil/White/Fish Flag","Verified Purchase","","","","[]","[]"
"R37778SPZ4YMDX","Tired RN","https://www.amazon.com/gp/profile/amzn1.account.AEU3ZVRN5UAHTJSWMD73L34KIBBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R37778SPZ4YMDX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","My 14yr old loves americana stuff and fishing.  He wears this hat almost daily and loves it.","Reviewed in the United States on April 26, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium/White","Verified Purchase","","","","[]","[]"
