"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R3A8VR3UVJVUUZ","Sonia Rosado ","https://www.amazon.com/gp/profile/amzn1.account.AFASVRGHW4M5L3OB6V4JMSVD74YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3A8VR3UVJVUUZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Hard to assemble but he loved it.","Reviewed in the United States on April 9, 2024","Color: Red<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","One person found this helpful","","","[]","[]"
"R23ZYGM4QH7E9H","Kumar L. Mirpuri","https://www.amazon.com/gp/profile/amzn1.account.AFI2V3HXZAKS7BZXKL7QOFCLGK5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R23ZYGM4QH7E9H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Good quality for a beginner.  Perfect size.","Reviewed in the United States on April 5, 2024","Color: Purple<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","One person found this helpful","","","[]","[]"
"R2STCLCPPX2OQS","misterjc","https://www.amazon.com/gp/profile/amzn1.account.AH5XIWJ7VS5OPY54ITIPC7Y46YGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R2STCLCPPX2OQS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Nightmare to assemble, but after it’s in one piece, it’s great.<br>I consider myself pretty handy, and have assembled a fair amount of bikes before this one, yet I struggled with this one quite a bit. First, nearly each screw requires a different sized open-end wrench or allen wrench, so keeping your tools nearby is absolutely necessary here.<br>The instructions are fine, but super frustrating when they tell you to do something you can’t. For example, the pedals comes disassembled and you must attached them. Right one went on easily, left on wasn’t threaded correctly. So after 14,538 swear words and some beating and banging, I had to remove the right pedal, attempt to screw it in to the left pedal’s place to strip the thread, and then... finally could get the left pedal on.<br>So many tiny issues like that, would’ve made assembly worth it if I’d known.<br>Get what you pay for, I guess, but jeez... frust-rat-ing! - 3.5 stars","Reviewed in the United States on May 23, 2021","Color: Purple<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","11 people found this helpful","","","[]","[]"
"R1IMFG72O2QBF0","Brandon","https://www.amazon.com/gp/profile/amzn1.account.AFW5WVWUXDY3K35Y6HZXBDAZSARQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1IMFG72O2QBF0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","I really think the people writing bad reviews on this bike, or saying its hard to assemble, probably are extremely lacking upstairs or have never turned a wrench in their life. I put this bike together in 30 minutes tops, most of which was taking cardboard off. The bike works fine after a few adjustments, mainly on the brakes. The seat is awful so I ordered a cushion to go over it. I rode it around my neighborhood and took it camping. No issues for a simple casual ride around, of course I would'nt take this out in the mountains or down trails in the woods, its perfect for a nightly cruise around the neighborhood","Reviewed in the United States on May 16, 2023","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","13 people found this helpful","","","[]","[]"
"R1ZSCLAH92NENR","Mike Pearson","https://www.amazon.com/gp/profile/amzn1.account.AGS2DF67RPUAEX4QI3DSK4L2XRAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1ZSCLAH92NENR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Packaging was nice, easy to assemble and ready for the nice weather! Only complaint is the seat is a bit hard!! Seems to change gears easy enough and no chain slippage from what we can tell.","Reviewed in the United States on February 7, 2024","Color: Purple<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","One person found this helpful","","","[""https://m.media-amazon.com/images/I/71uvZio1u1L._SY88.jpg""]","[""https://m.media-amazon.com/images/I/71uvZio1u1L.jpg""]"
"R1OTSEN884059P","Dan","https://www.amazon.com/gp/profile/amzn1.account.AG5HUKOP723QG7FQNQR36ZYYZUQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1OTSEN884059P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","This bike is very nice, I am 5'6"" and it's perfect . I did raise the seat a bit . I ordered a black but i  got a blue one. I must say I like the blue so scored there. The front tire due to shipping is a bit off (not sure if it is there or a slightly bent rim? Once again shipping problem. Only took 15 minutes to put together. Buy a pump, the tires are not fully aired up. Have a pair of vise grips ready for front tire install to grab brake cable. Very hard to rethread cable . Over all very satisfied. I just got back from a pain ride due to seat! But y a padded seat or your a$$ will hate you, so uncomfortable . Everything else BUT THE SEAT is great!","Reviewed in the United States on April 27, 2022","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","13 people found this helpful","","","[]","[]"
"R3PLLQP2TNCE2O","To broke to waste money","https://www.amazon.com/gp/profile/amzn1.account.AH3FB5MDNMVZSVROVKXJQJMLX7XA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","2","","https://www.amazon.com/gp/customer-reviews/R3PLLQP2TNCE2O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","It is extremely nice looking Great color! When I received it handlebar was sticking out the package I put it together and needless to say he can’t even ride it Yet","Reviewed in the United States on April 25, 2024","Color: Red<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","","","","[]","[]"
"R3T8FGYVEBZ0JJ","Beahr","https://www.amazon.com/gp/profile/amzn1.account.AGO7WHQTLBLLDBRXWPGMOCTNZHHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3T8FGYVEBZ0JJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Easy to assemble, very sturdy, but still light enough to pick up. In all, it's a great bike!!","Reviewed in the United States on February 25, 2024","Color: Red<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","","","","[]","[]"
"R2JWTTU37L1L94","Amazon Customer","https://www.amazon.com/gp/profile/amzn1.account.AGXI2V3C7D5PIIRQNO3XWDDX63UQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R2JWTTU37L1L94/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","the bike is good for the price. But there are no tools in the package. I have to buy them andit takes time. no convenient for some people like me.","Reviewed in the United States on May 6, 2023","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","3 people found this helpful","","","[]","[]"
"R2RSB1FAUZCIM4","Rodney I.","https://www.amazon.com/gp/profile/amzn1.account.AHLB6WMVWR6GEI3OUEJKOLG3JHIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2RSB1FAUZCIM4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","My grandson got his bike run over by a neighbor in the neighbor would not replace his bike I learned about this and I said this boy deserves to have a bike so I took it on myself as his grandpa to buy him a brand new bicycle the one he had was older and he got good use out of it but the smile on his face when he saw his brand new bicycle is something I as a grandfather will never forget thank you for providing me with a great product in a timely manner","Reviewed in the United States on May 1, 2023","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","7 people found this helpful","","","[]","[]"
"R2556NILIJJ3G3","Sherell M.","https://www.amazon.com/gp/profile/amzn1.account.AHD3IZTJ5CRRL6UHCYRUL5INCA7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/R2556NILIJJ3G3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","The bike is nice, but the front cable for the V-Brake needs to be replaced. I've worked on many bikes, and for some reason the front brake on this bike was defective. I'm not too happy with the front brake.","Reviewed in the United States on August 20, 2023","Color: Pink<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","2 people found this helpful","","","[""https://m.media-amazon.com/images/I/81bW7Y+uKXL._SY88.jpg""]","[""https://m.media-amazon.com/images/I/81bW7Y+uKXL.jpg""]"
"R3KK73JJSZ4AZD","James","https://www.amazon.com/gp/profile/amzn1.account.AFLFD3GYR7CLNXWRVJUCJKS5JR5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R3KK73JJSZ4AZD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","I bought this biker for commuting only, and it works nicely at this price point. The bike is very easy to assemble, even for a bike newbie like me. The only inconvenience I have with this bike is that the frame is made of steel, so it requires more strength to pedal (more than a Walmart bike). Also, you might have to true the wheels.","Reviewed in the United States on July 28, 2022","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","4 people found this helpful","","","[]","[]"
