"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R324BT2N6A70L1","JourneyRane","https://www.amazon.com/gp/profile/amzn1.account.AEIXK7BD6ZMX4L3ZSVWLABVCGODQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R324BT2N6A70L1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","Flushable good size and no in store purchase best way to buy!  No scent and don't burn. Hope my review helps?","Reviewed in the United States on July 5, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
"RMQ4I2ZMWBKG9","JACKIE","https://www.amazon.com/gp/profile/amzn1.account.AGB6PGNSA76JGTUUKN2RSFTPLM3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RMQ4I2ZMWBKG9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","We always have some in the car, in a back pack for emergencies, we take these when we travel.  They are something that we always keep stocked in our house.  Have used other brands and they are not as durable as these.  These are also great when camping, or if you just need to wipe your hands after eating in the car.","Reviewed in the United States on June 12, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","One person found this helpful","","","[]","[]"
"R11N5FVCSGWR3F","Burton Carrington","https://www.amazon.com/gp/profile/amzn1.account.AHR223DWGF5M7LGBDNJQJADAXZXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R11N5FVCSGWR3F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","After a very bad experience with Charmin. Charmin of the 40 you got in each package I lost at least 15 the first time. Opening is too small either 2 or 3 come out at a time. Cottenell Opening is much larger wipes come out one at a time. Wipes are bigger and even smell better. Thank you Cottenell","Reviewed in the United States on June 7, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","One person found this helpful","","","[]","[]"
"R2VUYY5YBLK81S","lorna","https://www.amazon.com/gp/profile/amzn1.account.AEGKTYSCD4QENKDZT5A3WMWPOHVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2VUYY5YBLK81S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","I have bought large quantities but they never go dry. Large enough for use and easy on the skin without irritation","Reviewed in the United States on July 3, 2024","Size: 45 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
"R2OS0EJ3PMFMM9","Laura","https://www.amazon.com/gp/profile/amzn1.account.AGEX265JOOWJFAG63AG4RXFHDUQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2OS0EJ3PMFMM9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","Love them, easy to open and to carry, good price. I will continue buy them. No my orden then too 😃","Reviewed in the United States on June 29, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
"R1O30PCWQMA3PL","Chris","https://www.amazon.com/gp/profile/amzn1.account.AFDMVJRU2SZPDNIGULPCZFYUE5WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1O30PCWQMA3PL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","I’ve used these for a month with no issue in my RV. They breakdown quickly.","Reviewed in the United States on July 2, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
"R2UNQL18PDOV7Q","Danny Murphy","https://www.amazon.com/gp/profile/amzn1.account.AHWMBSRG3TC2FPXADSXLO3QMF2SA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2UNQL18PDOV7Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","I use to take a hospital bath at home when I am restricted from normal bathing or showers.  The only bad feature is that they are not flushable.","Reviewed in the United States on June 26, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
"ROSI2551F5NMA","My reviews ","https://www.amazon.com/gp/profile/amzn1.account.AHAJTLNG5YBA22J47HLYXR3R2PNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/ROSI2551F5NMA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","I use wet wipes to wipe my Dane’s booty after he poops. Of all the wipes I’ve tried, I found these to be slightly thinner than others. Other brands I could get away with one but this one I like to use 2-3 to be safe. Great for travels but goes fast bc they’re thin. When I double up the durability is good but one piece? Be careful..","Reviewed in the United States on June 13, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
"RYFH0O27PB6LY","Sam","https://www.amazon.com/gp/profile/amzn1.account.AHUU2Z3HLG4S7URI3VXVCPWZ64MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RYFH0O27PB6LY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","The Wet Wipes are great because its soft, flushable, and easy to use. Has a top closure that keeps it fresh. This is my new go to wipes.","Reviewed in the United States on June 26, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
"R2HAZLBIGQLM2E","M","https://www.amazon.com/gp/profile/amzn1.account.AFELR2EUERAIFVKN5NS2ICITBNUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2HAZLBIGQLM2E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","These are the best brand. They are easy to pull out and don’t fall apart.","Reviewed in the United States on July 7, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
